地点コード,延床面積(㎡),有効率(%),有効面積(㎡),階層1,階層2,階層3,階層4,階層5,階層1_共込単価(円/㎡),階層1_共込単価(円/坪),階層2_共込単価(円/㎡),階層2_共込単価(円/坪),階層3_共込単価(円/㎡),階層3_共込単価(円/坪),階層4_共込単価(円/㎡),階層4_共込単価(円/坪),階層5_共込単価(円/㎡),階層5_共込単価(円/坪),階層1_有効面積(㎡),階層2_有効面積(㎡),階層3_有効面積(㎡),階層4_有効面積(㎡),階層5_有効面積(㎡),駐車場代単価（円/台）,駐車場台数,緯度,経度,用途,構造・階層,評価書,用途カテゴリ
札幌中央-2,218.7,86.7,189.54,1階：住宅,2～3階：住宅,,,,1775,5868,1810,5983,,,,,,,63.18,63.18,0,0,0,10000,3,43.04180888888889,141.33939694444445,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010002.html,戸建住宅系
札幌中央-3,226.2,87.1,197.04,1階：住宅,2～3階：住宅,,,,1775,5868,1810,5983,,,,,,,65.68,65.68,0,0,0,13000,3,43.04713,141.34455694444446,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010003.html,共同住宅
札幌中央-4,254.88,82.3,209.88,1階：住宅,2階：住宅,3階：住宅,,,1922,6354,1960,6479,1960,6479,,,,,69.96,69.96,69.96,0,0,0,0,43.03636,141.34944305555555,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010004.html,戸建住宅系
札幌中央-6,236.31,87.7,207.15,1階：住宅,2～3階：住宅,,,,1726,5706,1760,5818,,,,,,,69.05,69.05,0,0,0,10000,3,43.075950000000006,141.3301661111111,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010006.html,戸建住宅系
札幌中央-7,259.2,82.6,214.2,1階：住宅,2～3階：住宅,,,,1690,5587,1740,5752,,,,,,,71.4,71.4,0,0,0,8000,1,43.020631944444446,141.3479211111111,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010007.html,戸建住宅系
札幌中央-11,574.3,88,505.6,1階：住宅,2～3階：住宅,4階：住宅,,,1804,5964,1840,6083,1840,6083,,,,,124.9,126.9,126.9,0,0,10000,4,43.027775,141.34254388888888,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010011.html,戸建住宅系
札幌中央-12,425.24,90.9,386.36,1階：住宅,2～4階：住宅,,,,1910,6314,1970,6512,,,,,,,96.59,96.59,0,0,0,13000,4,43.05248666666667,141.32454333333334,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010012.html,戸建住宅系
札幌中央-13,414.3,81.5,337.77,1階：住宅,2～3階：住宅,,,,1860,6149,1910,6314,,,,,,,112.59,112.59,0,0,0,10000,5,43.04067694444445,141.3521038888889,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010013.html,戸建住宅系
札幌中央-14,769.2,88.2,678.28,1階：住宅,2～4階：住宅,,,,2020,6678,2060,6810,,,,,,,169.63,169.55,0,0,0,10000,5,43.067566944444444,141.3272511111111,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010014.html,戸建住宅系
札幌中央-17,689.9,88.2,608.79,1階：住宅,2～4階：住宅,,,,2020,6678,2060,6810,,,,,,,152.22,152.19,0,0,0,12000,5,43.05255388888889,141.33189611111112,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010017.html,戸建住宅系
札幌中央-19,409.2,89,364.2,1階：住宅,2階：住宅,3階：住宅,,,1930,6380,1990,6579,1990,6579,,,,,121.4,121.4,121.4,0,0,11000,5,43.06099111111111,141.30443305555553,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010019.html,戸建住宅系
札幌中央-20,315.9,87,274.83,1階：住宅,2階：住宅,3階：住宅,,,1790,5917,1810,5983,1810,5983,,,,,89.51,92.66,92.66,0,0,0,0,43.037011111111106,141.33931305555555,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010020.html,戸建住宅系
札幌中央-22,646.5,80.9,523.24,1階：住宅,2～3階：住宅,,,,1775,5868,1810,5983,,,,,,,168.52,177.36,0,0,0,12000,3,43.04353388888889,141.33407694444446,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010022.html,戸建住宅系
札幌中央-24,661.44,85.1,562.62,1階：住宅,2～3階：住宅,,,,1960,6479,2010,6645,,,,,,,187.54,187.54,0,0,0,12000,5,43.06013,141.32147,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010024.html,戸建住宅系
札幌中央-25,598.5,84.9,508.12,1階：住宅,2～3階：住宅,,,,1760,5818,1810,5983,,,,,,,166.18,170.97,0,0,0,9000,5,43.03281111111111,141.3409438888889,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010025.html,戸建住宅系
札幌中央-26,315,85.7,270,1階：住宅,2～3階：住宅,,,,1790,5917,1840,6083,,,,,,,90,90,0,0,0,0,0,43.038451944444446,141.33487888888888,共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010026.html,戸建住宅系
札幌中央5-1,18572.88,62.7,11640,地下2階：共同倉庫等,地下1階：店舗,1階：店舗,(一括)2～3階：店舗,4～13階：事務所,,,10000,33058,16000,52893,10000,33058,8200,27107,0,400,320,920,1000,50000,31,43.05860611111111,141.35213805555554,店舗,RC造地下2階地上13階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010501.html,店舗系
札幌中央5-2,4206.03,77.4,3256.69,地下1階：機械室,1階：店舗,2～9階：店舗,,,,,6000,19835,4630,15306,,,,,0,184.29,384.05,0,0,35000,9,43.053578888888886,141.35357611111112,飲食店舗,RC造地下1階地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010502.html,店舗系
札幌中央5-3,6353,73.4,4660.89,1階：店舗,2～10階：事務所,,,,8225,27190,5750,19008,,,,,,,383.28,475.29,0,0,0,30000,32,43.05932388888888,141.347825,店舗兼事務所,RC造地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010503.html,店舗＆事務所
札幌中央5-4,8848.28,83.9,7422.76,地下1階：機械室等,1階：店舗,2～9階：事務所,,,,,7100,23471,6050,20000,,,,,0,530.44,861.54,0,0,30000,64,43.06315194444445,141.35261388888887,店舗兼事務所,RC造地下1階地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010504.html,店舗＆事務所
札幌中央5-5,8439.29,77.9,6576.68,地下1階：店舗及び機械室,1階：店舗,2～6階：事務所,塔屋：階段室等,,3160,10446,4650,15372,3670,12132,,,,,530.44,530.44,1103.16,0,0,25000,67,43.06107111111111,141.3466611111111,店舗兼事務所,RC造地下1階地上6階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010505.html,店舗＆事務所
札幌中央5-6,3322.25,76.2,2532.05,1階：店舗,2階：事務所,3～10階：事務所,,,4720,15603,4050,13388,4050,13388,,,,,175.4,261.85,261.85,0,0,25000,8,43.06301694444445,141.36138805555555,店舗兼事務所,RC造地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010506.html,店舗＆事務所
札幌中央5-7,2518.39,86.1,2169.48,1階：店舗,2～3階：事務所,4～7階：事務所,,,4730,15636,3750,12397,3750,12397,,,,,279.9,314.93,314.93,0,0,18000,18,43.056849722222225,141.3295311111111,店舗兼事務所,RC造地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010507.html,店舗＆事務所
札幌中央5-8,6737,74.7,5035.04,地下1階：機械室,1階：店舗,2～15階：住宅,,,,,3720,12298,2520,8331,,,,,0,268.18,340.49,0,0,22000,37,43.066338055555555,141.35789805555555,店舗兼共同住宅,RC造地下1階地上15階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010508.html,店舗＆共同住宅
札幌中央5-9,1465.97,78.9,1156.57,1階：事務所,2～5階：事務所,,,,4253,14060,3930,12992,,,,,,,174.37,245.55,0,0,0,21000,5,43.057721944444445,141.3358988888889,事務所,RC造地上5階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010509.html,事務所
札幌中央5-10,300,100,300,1階：店舗,,,,,3075,10165,,,,,,,,,300,0,0,0,0,0,0,43.03448694444444,141.34470305555556,店舗,S造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010510.html,店舗系
札幌中央5-11,723.25,79.9,577.75,1階：事務所,2～6階：事務所,,,,3790,12529,3390,11207,,,,,,,58.75,103.8,0,0,0,20000,4,43.05570888888889,141.3421711111111,事務所,RC造地上6階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010511.html,事務所
札幌中央5-12,2243.25,83.8,1879.25,地下1階：機械室,1階：店舗,2～10階：事務所,,,,,7250,23967,5050,16694,,,,,0,115.25,196,0,0,30000,3,43.058260000000004,141.35405805555556,店舗兼事務所,RC造地下1階地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010512.html,店舗＆事務所
札幌中央5-13,2252.33,81.2,1829.24,1階：店舗,2～7階：事務所,,,,5250,17355,3950,13058,,,,,,,140.96,281.38,0,0,0,20000,7,43.060138888888886,141.35942111111112,店舗兼事務所,RC造地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010513.html,店舗＆事務所
札幌中央5-14,1674.4,82.3,1378.4,1階：店舗,2～5階：事務所,,,,3640,12033,2890,9554,,,,,,,249,282.35,0,0,0,12000,5,43.06518611111112,141.33756888888888,店舗兼事務所,RC造地上5階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010514.html,店舗＆事務所
札幌中央5-15,1999.5,76.2,1522.64,1階：店舗,2～6階：事務所,,,,3900,12893,3200,10579,,,,,,,242.94,255.94,0,0,0,18000,12,43.05075611111111,141.3427361111111,店舗兼事務所,RC造地上6階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010515.html,店舗＆事務所
札幌中央5-16,1010.22,88.6,895.38,1階：店舗,2～3階：住宅,4～6階：住宅,,,3410,11273,2370,7835,2370,7835,,,,,135.93,151.89,151.89,0,0,12000,5,43.05206694444444,141.34666805555557,店舗兼共同住宅,RC造地上6階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010516.html,店舗＆共同住宅
札幌中央5-17,1539.36,95.1,1464.15,1階：店舗,2～9階：住宅,,,,3350,11074,2280,7537,,,,,,,146.63,164.69,0,0,0,15000,9,43.048338055555554,141.35012694444444,店舗兼共同住宅,RC造地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010517.html,店舗＆共同住宅
札幌中央5-18,2015.06,77.9,1569.47,1階：店舗,2～3階：住宅,4～7階：住宅,8～9階：住宅,塔屋,2980,9851,2030,6711,2125,7025,2220,7339,,,143.13,149.82,161.19,240.97,0,15000,13,43.050266111111114,141.33554694444445,高層店舗付共同住宅,RC造地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010518.html,店舗＆共同住宅
札幌中央5-19,2475.65,77.1,1909.61,1階：店舗,2～8階：住宅,9階：住宅,,,3120,10314,2120,7008,2220,7339,,,,,252.08,220.26,115.71,0,0,15000,32,43.063291944444444,141.3267261111111,店舗兼共同住宅,RC造地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010519.html,店舗＆共同住宅
札幌中央5-20,3540,82.6,2924.25,1階：店舗,2～9階：事務所,,,,3640,12033,3100,10248,,,,,,,268.25,332,0,0,0,17000,14,43.056918055555556,141.36024694444444,店舗兼事務所,RC造地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010520.html,店舗＆事務所
札幌中央5-21,3330.95,75.1,2502.29,地下1階：機械室,1階：飲食店舗,2～9階：飲食店舗,塔屋：機械室,,,,5600,18512,4240,14017,,,,,0,151.01,293.91,0,0,30000,4,43.053805000000004,141.355055,飲食店舗,RC造地下1階地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010521.html,店舗系
札幌中央5-22,310.8,87,270.29,1階：店舗,2～3階：住宅,,,,2380,7868,1680,5554,,,,,,,94.15,88.07,0,0,0,10000,3,43.07105305555555,141.32335194444443,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010522.html,店舗＆共同住宅
札幌中央5-23,1800,73.9,1330.16,1階：事務所,2～7階：事務所,,,,4400,14545,3900,12893,,,,,,,148.88,196.88,0,0,0,26000,4,43.064573055555556,141.35669888888887,事務所,RC造地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010523.html,事務所
札幌中央5-24,2743.37,74.1,2032.02,地下1階：機械室,1階：店舗,2～10階：住宅,,,,,3620,11967,2420,8000,,,,,0,124.56,211.94,0,0,18000,24,43.061139999999995,141.31950388888887,高層店舗付共同住宅,RC造地下1階地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010524.html,店舗＆共同住宅
札幌中央5-25,1312.5,90,1180.98,1階：事務所,2～5階：住宅,,,,2950,9752,2010,6645,,,,,,,240.5,235.12,0,0,0,12000,7,43.06315305555555,141.3667838888889,事務所兼共同住宅,RC造地上5階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010525.html,事務所＆共同住宅
札幌中央5-27,1457.36,90,1311.66,1階：店舗,2～4階：住宅,,,,3020,9983,2270,7504,,,,,,,312.72,332.98,0,0,0,10000,7,43.04266611111111,141.32535305555555,店舗兼共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010527.html,店舗＆共同住宅
札幌中央5-28,1185.32,91.7,1087.32,1階：店舗,2～4階：住宅,,,,3090,10215,2100,6942,,,,,,,278.13,269.73,0,0,0,13000,8,43.054138888888886,141.32877888888888,店舗兼共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010528.html,店舗＆共同住宅
札幌中央5-29,507.2,87.4,443.28,1階：店舗,2～4階：住宅,,,,4080,13488,2450,8099,,,,,,,92.04,117.08,0,0,0,15000,4,43.061861944444445,141.31349111111112,中層店舗兼共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010529.html,店舗＆共同住宅
札幌中央5-30,1722.5,92.6,1594.9,1階：店舗,2～4階：住宅,5～8階：住宅,9～10階：住宅,,2850,9421,2220,7339,2283,7547,2325,7686,,,181.9,157,157,157,0,10000,11,43.03122,141.34922583333332,店舗兼共同住宅,RC造地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010530.html,店舗＆共同住宅
札幌中央5-31,2787,84.5,2355.2,1階：店舗,2～7階：住宅,8～10階：住宅,塔屋：機械室,,3640,12033,2210,7306,2210,7306,,,,,235.52,235.52,235.52,0,0,13000,21,43.071663888888885,141.3325411111111,店舗兼共同住宅,RC造地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010531.html,店舗＆共同住宅
札幌中央5-32,442.12,88.6,391.76,1階：店舗,2～4階：住宅,,,,2820,9322,1970,6512,,,,,,,89.78,100.66,0,0,0,13000,5,43.046638888888886,141.32857111111113,中層店舗兼共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010532.html,店舗＆共同住宅
札幌中央5-33,989.6,80.4,795.2,1階：店舗,2階：事務所,3～5階：事務所,塔屋：機械室,,3795,12545,2730,9025,2730,9025,,,,,140,163.8,163.8,0,0,10000,8,43.06675388888889,141.37017805555556,店舗兼事務所,RC造地上5階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010533.html,店舗＆事務所
札幌中央5-34,8038.62,73.8,5933.92,地下2～1階：店舗（塔屋部分等含む）,1階：店舗,2～3階：店舗,4～10階：事務所,11～15階：事務所,11100,36694,9900,32727,8100,26777,6900,22810,6900,22810,328.62,223.6,290.07,429.27,293.61,45000,34,43.06577111111111,141.35036888888888,店舗兼事務所,RC造地下2階地上15階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011010534.html,店舗＆事務所
札幌北-1,155.52,100,155.52,1～2階：住宅,,,,,1700,5620,,,,,,,,,77.76,0,0,0,0,0,0,43.096491944444445,141.32777805555554,共同住宅,W造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020001.html,戸建住宅系
札幌北-2,1050.41,79.1,830.76,1階：住宅,2～3階：住宅,4階：住宅,,,1933,6390,1970,6512,1933,6390,,,,,118.68,237.36,237.36,0,0,12000,10,43.10481111111111,141.3426988888889,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020002.html,共同住宅
札幌北-8,783.52,89,697.27,1階：住宅,2～4階：住宅,,,,2000,6612,2030,6711,,,,,,,165.88,177.13,0,0,0,13000,4,43.079254999999996,141.3496388888889,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020008.html,共同住宅
札幌北-9,259.2,100,259.2,1～2階：住宅,,,,,1500,4959,,,,,,,,,129.6,0,0,0,0,0,0,43.14605111111111,141.36850694444445,共同住宅,W造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020009.html,戸建住宅系
札幌北-14,1028.31,79.6,818.24,1階：機械室等,2～5階：住宅,6～9階：住宅,,,,,2070,6843,2109,6972,,,,,0,102.28,102.28,0,0,13000,10,43.08837305555556,141.34584805555556,共同住宅,RC造地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020014.html,共同住宅
札幌北-15,194.4,100,194.4,1～2階：住宅,,,,,1540,5091,,,,,,,,,97.2,0,0,0,0,0,0,43.13050805555555,141.36356805555556,共同住宅,W造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020015.html,戸建住宅系
札幌北-20,200,100,200,1～2階：住宅,,,,,1470,4860,,,,,,,,,100,0,0,0,0,0,0,43.09900694444444,141.31421194444445,共同住宅,W造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020020.html,戸建住宅系
札幌北-25,891.65,90.6,807.95,1階：住宅,2～4階：住宅,,,,1866,6169,1920,6347,,,,,,,194.3,204.55,0,0,0,11000,9,43.08444305555555,141.3421588888889,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020025.html,共同住宅
札幌北-26,504.68,91.1,459.68,1階：住宅,2～4階：住宅,,,,1760,5818,1860,6149,,,,,,,114.92,114.92,0,0,0,10000,6,43.095155,141.34567194444443,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020026.html,共同住宅
札幌北-30,646.72,88.2,570.45,1階：住宅,2～4階：住宅,,,,1860,6149,1910,6314,,,,,,,137.91,144.18,0,0,0,12000,4,43.11179694444445,141.3410511111111,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020030.html,共同住宅
札幌北-45,643.4,93,598.36,1階：住宅,2～4階：住宅,,,,1830,6050,1880,6215,,,,,,,149.59,149.59,0,0,0,8000,6,43.09133611111111,141.33733805555556,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020045.html,共同住宅
札幌北5-1,2163.41,77.1,1666.91,1階：店舗,2階：店舗,3～7階：事務所,,,4800,15868,3600,11901,2830,9355,,,,,232.13,239.13,239.13,0,0,15000,6,43.08997194444444,141.34362694444442,店舗兼事務所,RC造地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020501.html,店舗＆事務所
札幌北5-2,1336.13,88.7,1184.9,1階：店舗,2～4階：住宅,5～8階：住宅,,,3316,10962,2000,6612,2038,6737,,,,,156.74,146.88,146.88,0,0,13000,6,43.09702111111111,141.34092305555555,店舗兼共同住宅,RC造地上8階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020502.html,店舗＆共同住宅
札幌北5-3,360,89.6,322.56,1階：店舗,2階：住宅,3階：住宅,,,2300,7603,1600,5289,1600,5289,,,,,107.52,107.52,107.52,0,0,7000,5,43.102176944444444,141.31557194444446,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020503.html,店舗＆共同住宅
札幌北5-4,6001.66,72.8,4367.1,地下1階：機械室,1階：店舗,2～5階：事務所,6～11階：住宅,,,,8660,28628,4710,15570,3020,9983,,,0,262.9,406.55,413,0,20000,32,43.07076888888889,141.34812194444444,店舗、事務所兼共同住宅,RC造地下1階地上11階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020504.html,店舗＆事務所＆共同住宅
札幌北5-5,855,88.4,756,1階：店舗,2階：店舗,3～7階：住宅,,,3630,12000,3045,10066,2070,6843,,,,,67.5,82.5,121.2,0,0,14000,3,43.08148611111111,141.34739805555554,店舗兼共同住宅,RC造地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020505.html,店舗＆共同住宅
札幌北5-6,600,88,528,1階：店舗,2～3階：住宅,,,,2380,7868,1730,5719,,,,,,,168,180,0,0,0,7000,5,43.10589472222222,141.33142833333332,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020506.html,店舗＆共同住宅
札幌北5-7,6037.75,69.6,4201.52,地下1階：店舗,1階：店舗,2～8階：事務所,塔屋：機械室,,6900,22810,9900,32727,6400,21157,,,,,331.08,275.24,513.6,0,0,35000,64,43.06944888888889,141.3495288888889,店舗兼事務所,RC造地下1階地上8階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020507.html,店舗＆事務所
札幌北5-8,751.75,81.2,610.45,1階：店舗,2～5階：住宅,,,,3640,12033,2320,7669,,,,,,,87.09,130.84,0,0,0,18000,1,43.077353055555555,141.34851111111112,店舗兼共同住宅,RC造地上5階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020508.html,店舗＆共同住宅
札幌北5-9,1198.18,81.7,978.64,地下1階：機械室,1階：事務所,2階：住宅,3～6階：住宅,7階：住宅,,,3400,11240,2200,7273,2300,7603,2500,8264,0,199.34,132.15,132.09,118.79,15000,6,43.07484194444445,141.35066111111112,事務所兼共同住宅,RC造地下1階地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020509.html,事務所＆共同住宅
札幌北5-10,2699.62,82.5,2227.89,1階：事務所,2～5階：住宅,6～9階：住宅,塔屋：機械室,,4890,16165,2520,8331,2567,8486,,,,,195.57,254.04,254.04,0,0,21000,11,43.07292694444445,141.35105305555555,事務所兼共同住宅,RC造地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020510.html,店舗＆共同住宅
札幌北5-11,434.97,87.2,379.08,1階：店舗,2～3階：住宅,,,,2420,8000,1720,5686,,,,,,,132.84,123.12,0,0,0,8000,5,43.097093055555554,141.32449194444445,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020511.html,店舗＆共同住宅
札幌北5-12,3172,71.6,2270.58,1階：駐車場,2階：店舗,3階：店舗,4～8階：居宅,9～10階：居宅,,,3770,12463,3350,11074,2460,8132,2560,8463,0,333.06,242.19,242.19,242.19,20000,13,43.107968888888884,141.3388161111111,店舗兼共同住宅,RC造地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020512.html,店舗＆共同住宅
札幌北5-13,1569.49,81.3,1275.39,地下1階：機械室等,1階：店舗,2～4階：住宅,5～10階：住宅,,,,3020,9983,1950,6446,1980,6545,,,0,238.95,115.16,115.16,0,12000,11,43.112269999999995,141.33309805555555,店舗兼共同住宅,RC造地下1階地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020513.html,店舗＆共同住宅
札幌北5-14,300,86,258,1階：店舗,2～3階：住宅,,,,1950,6446,1550,5124,,,,,,,82,88,0,0,0,7000,4,43.109228888888886,141.31934111111113,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020514.html,店舗＆共同住宅
札幌北5-15,420,100,420,(一括)1階：店舗,,,,,1970,6512,,,,,,,,,420,0,0,0,0,0,0,43.13540805555556,141.3363138888889,店舗,S造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020515.html,店舗系
札幌北5-16,535.83,84.4,451.99,1階：店舗,2～3階：住宅,,,,2400,7934,1650,5455,,,,,,,160.39,145.8,0,0,0,7000,8,43.13169,141.35483694444446,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020516.html,店舗＆共同住宅
札幌北5-17,1674.48,83.8,1402.68,1階：店舗,2～4階：住宅,5～9階：住宅,,,2440,8066,1880,6215,1890,6248,,,,,113.16,161.19,161.19,0,0,10000,22,43.11665083333333,141.34073472222224,店舗兼共同住宅,RC造地上9階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020517.html,店舗＆共同住宅
札幌北5-18,408,100,408,(一括)1階：店舗,,,,,1980,6545,,,,,,,,,408,0,0,0,0,0,0,43.130783055555554,141.34693388888888,店舗,S造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/01/2026011020518.html,店舗系
