地点コード,延床面積(㎡),有効率(%),有効面積(㎡),階層1,階層2,階層3,階層4,階層5,階層1_共込単価(円/㎡),階層1_共込単価(円/坪),階層2_共込単価(円/㎡),階層2_共込単価(円/坪),階層3_共込単価(円/㎡),階層3_共込単価(円/坪),階層4_共込単価(円/㎡),階層4_共込単価(円/坪),階層5_共込単価(円/㎡),階層5_共込単価(円/坪),階層1_有効面積(㎡),階層2_有効面積(㎡),階層3_有効面積(㎡),階層4_有効面積(㎡),階層5_有効面積(㎡),駐車場代単価（円/台）,駐車場台数,緯度,経度,用途,構造・階層,評価書,用途カテゴリ
宇佐5-3,1000,100,1000,1階：店舗,,,,,1650,5455,,,,,,,,,1000,0,0,0,0,4000,80,33.53462388888889,131.34010694444444,店舗,S造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/44/2026442110503.html,店舗系
豊後大野5-2,350,100,350,1階：店舗,,,,,1800,5950,,,,,,,,,350,0,0,0,0,0,0,32.98428805555556,131.59343388888888,店舗,S造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/44/2026442120502.html,店舗系
由布5-2,75,100,75,1階：店舗,,,,,3170,10479,,,,,,,,,75,0,0,0,0,0,0,33.26425694444444,131.35743,店舗,S造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/44/2026442130502.html,店舗系
由布5-3,45,100,45,1階：店舗,,,,,4630,15306,,,,,,,,,45,0,0,0,0,0,0,33.267291944444445,131.3645238888889,店舗,W造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/44/2026442130503.html,店舗系
宮崎-8,200,100,200,1階：住宅,2階：住宅,,,,1300,4298,1300,4298,,,,,,,100,100,0,0,0,5000,4,31.912993055555553,131.41647694444444,共同住宅,S造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010008.html,戸建住宅系
宮崎-9,168,100,168,1階：居宅,2階：居宅,,,,1270,4198,1270,4198,,,,,,,84,84,0,0,0,5000,4,31.919678055555554,131.41368,共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010009.html,戸建住宅系
宮崎-15,297,100,297,1階：住宅,2階：住宅,,,,1314,4344,1314,4344,,,,,,,148.5,148.5,0,0,0,5000,6,31.906438055555554,131.4449211111111,共同住宅,S造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010015.html,戸建住宅系
宮崎-16,211.92,100,211.92,1階：住宅,2階：住宅,3階：住宅,4階：住宅,,1420,4694,1420,4694,1420,4694,1420,4694,,,52.98,52.98,52.98,52.98,0,5000,4,31.909321388888888,131.43267111111112,共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010016.html,戸建住宅系
宮崎5-1,1136.7,79.7,905.81,1階：店舗,2階：事務所,3～8階：事務所,,,3180,10512,2580,8529,2580,8529,,,,,104.09,109.8,115.32,0,0,0,0,31.915441944444446,131.42274694444444,店舗兼事務所,S造地上8階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010501.html,店舗＆事務所
宮崎5-2,6290,67.1,4217.5,1階：事務所,2～10階：事務所,,,,2960,9785,2775,9174,,,,,,,185.5,448,0,0,0,14000,36,31.91656111111111,131.42672888888887,事務所,S造地上10階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010502.html,事務所
宮崎5-3,468,90,421.2,1階：店舗,2階：住宅,3階：住宅,,,2240,7405,1493,4936,1493,4936,,,,,140.4,140.4,140.4,0,0,7000,10,31.93745861111111,131.42949805555557,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010503.html,店舗＆共同住宅
宮崎5-4,360,60,216,1階：店舗,2階：店舗,3階：店舗,4階：店舗,5階：店舗,3617,11957,3165,10463,3014,9964,3014,9964,2863,9464,43.2,43.2,43.2,43.2,43.2,0,0,31.913895,131.42137611111113,店舗,RC造地上5階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010504.html,店舗系
宮崎5-5,957.46,89.3,854.88,1階：事務所,2階：住宅,3階：住宅,4階：住宅,5階：住宅,2429,8030,1619,5352,1619,5352,1619,5352,1619,5352,54.8,200.02,200.02,200.02,200.02,5000,7,31.896285000000002,131.42029888888888,事務所兼共同住宅,RC造地上5階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010505.html,事務所＆共同住宅
宮崎5-6,520,74.5,387.5,1階：店舗,2階：事務所,3階：事務所,4階：事務所,階：塔屋,3090,10215,2060,6810,2060,6810,2060,6810,,,87.5,100,100,100,0,0,0,31.910943055555556,131.4224638888889,店舗兼事務所,S造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010506.html,店舗＆事務所
宮崎5-7,920,77.5,713,1階：店舗,2階：事務所,3階：住宅,4階：住宅,,3200,10579,2400,7934,1600,5289,1600,5289,,,149.5,172.5,195.5,195.5,0,0,0,31.9125,131.43005,店舗兼共同住宅,RC造地上4階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010507.html,店舗＆事務所＆共同住宅
宮崎5-8,300,100,300,1階：店舗,2階：住宅,,,,2360,7802,1180,3901,,,,,,,150,150,0,0,0,5000,8,31.91974388888889,131.43570888888888,店舗兼共同住宅,S造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010508.html,店舗＆事務所
宮崎5-11,94,82.5,77.55,1階：店舗,2階：住宅,,,,2480,8198,1240,4099,,,,,,,37.6,39.95,0,0,0,0,0,31.91509305555556,131.41938,店舗兼共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010511.html,店舗系
宮崎5-14,1834,79.1,1450.15,1階：店舗・事務所,2階：住宅,3～4階：住宅,5～6階：住宅,階：塔屋,3502,11577,1751,5788,1751,5788,1751,5788,,,179.4,254.15,254.15,254.15,0,7000,5,31.92715111111111,131.425765,店舗事務所兼共同住宅,RC造地上6階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010514.html,店舗＆共同住宅
宮崎5-20,1665,95,1581.75,1階：店舗・事務所,2階：住宅,3階：住宅,,,2680,8860,1340,4430,1340,4430,,,,,471.75,555,555,0,0,4000,53,31.953641944444445,131.43420111111112,店舗兼共同住宅,RC造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010520.html,店舗＆事務所
宮崎5-23,260,100,260,1階：店舗,2階：住宅,,,,1790,5917,1377,4552,,,,,,,130,130,0,0,0,5000,8,31.929151944444445,131.41160305555556,店舗兼共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010523.html,店舗＆事務所
宮崎5-24,268.26,100,268.26,1階：店舗,2階：住宅,3階：住宅,,,2400,7934,1200,3967,1200,3967,,,,,89.42,89.42,89.42,0,0,5000,4,31.90660888888889,131.45293999999998,店舗兼共同住宅,RC造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010524.html,店舗＆共同住宅
宮崎5-25,1251,100,1251,1階：店舗,2階：住宅,3階：住宅,,,1984,6559,1526,5045,1526,5045,,,,,417,417,417,0,0,5000,25,31.91983222222222,131.40853611111112,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010525.html,店舗＆共同住宅
宮崎5-27,1260,87.4,1101.6,1階：事務所,2階：住宅,3階：住宅,4～7階：住宅,,3400,11240,1700,5620,1700,5620,1700,5620,,,129.6,162,162,162,0,10000,21,31.91601777777778,131.43450805555554,事務所兼共同住宅,RC造地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010527.html,事務所＆共同住宅
宮崎5-28,354,78.3,277.3,1階：店舗,2～3階：住宅,,,,3200,10579,1600,5289,,,,,,,88.5,94.4,0,0,0,0,0,31.920672222222223,131.4280097222222,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/45/2026452010528.html,店舗＆共同住宅
鹿児島-1,228.42,100,228.42,1階：住宅,2階：住宅,3階：住宅,,,1920,6347,2000,6612,2080,6876,,,,,76.14,76.14,76.14,0,0,0,0,31.586566944444446,130.53965,共同住宅,RC造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/46/2026462010001.html,戸建住宅系
鹿児島-3,150,100,150,1階：住宅,2階：住宅,,,,1430,4727,1430,4727,,,,,,,75,75,0,0,0,0,0,31.541698888888888,130.53460611111112,共同住宅,S造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/46/2026462010003.html,戸建住宅系
